% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.860632542e+05 +2.860632542e+05 +2.862124042e+05 +2.862124042e+05 -3.1468e+00 +3.6952e+00 -3.9629e+00 +2.1993e+00 +2.5384e+00 +2.9496e+00 -3.3245e+00 -8.0174e-01 -1.9210e+00 +2.4005e+00
2 +1.954980833e+05 +1.954980833e+05 +1.956472333e+05 +1.956472333e+05 -2.1623e+00 +1.3031e+00 -6.6968e+00 +4.0631e+00 +1.6193e+00 -3.5389e-01 -4.9814e+00 -2.9387e+00 +1.6134e+00 +3.0611e+00
11 +1.289188340e+05 +1.289188340e+05 +1.290679840e+05 +1.290679840e+05 -1.8960e-01 -4.4995e-01 -2.9588e+00 +3.5549e+00 -5.2354e-01 +2.5356e+00 -6.4519e+00 -2.3382e+00 +1.3204e+00 -4.1197e-01
23 +4.644450237e+04 +4.644450237e+04 +4.659365237e+04 +4.659365237e+04 -4.3785e+00 -5.8960e-02 -1.7208e+00 +4.1326e+00 +4.6204e-01 +1.1705e+00 -6.3711e-01 -6.5273e-01 -8.4666e-01 +1.2841e+00
35 +8.378423707e+03 +8.378423707e+03 +8.527573707e+03 +8.527573707e+03 -3.2338e+00 -5.3389e-01 -1.1105e+00 +3.4828e+00 -2.1939e+00 +2.2264e-01 -9.7985e-01 -3.3150e+00 +8.0299e-01 +6.5266e-01
48 +5.830964105e+03 +5.830964105e+03 +5.980114105e+03 +5.980114105e+03 -3.6334e+00 +8.0379e-01 -1.4196e+00 +2.5669e+00 -2.8059e+00 -2.1836e+00 -5.7161e-01 -2.1881e+00 -1.0247e+00 -5.0205e-01
% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.560450063e+04 +7.560450063e+04 +7.575365063e+04 +7.575365063e+04 -2.6305e+00 +1.6484e+00 -3.7453e+00 -1.7846e+00 -3.6306e+00 -3.2229e+00 +2.5877e+00 +1.5586e+00 -1.4632e+00 +3.6018e+00
18 +5.235533350e+04 +5.235533350e+04 +5.250448350e+04 +5.250448350e+04 +3.2391e+00 -1.1527e+00 -9.7802e-01 -2.3538e+00 -5.3681e+00 -3.4178e-01 -6.2521e-01 +5.9107e-01 +5.2011e-01 +1.6229e+00
29 +2.444845719e+04 +2.444845719e+04 +2.459760719e+04 +2.459760719e+04 -2.1246e+00 +9.5040e-01 -3.8983e+00 +2.1775e+00 -5.9982e+00 -3.6841e+00 -2.4359e+00 +3.7015e-01 -1.9956e+00 +6.0368e-01
43 +1.244915504e+04 +1.244915504e+04 +1.259830504e+04 +1.259830504e+04 -2.2602e+00 +2.9071e-01 -1.3104e-01 -1.0949e+00 -4.9733e+00 -4.0579e+00 -2.7129e+00 +4.2519e-01 -9.9928e-01 +3.3108e+00
53 +4.859277687e+03 +4.859277687e+03 +5.008427687e+03 +5.008427687e+03 -2.4928e+00 -5.6285e-02 -1.1348e-01 +1.4308e-01 -3.0274e+00 -2.1478e+00 -1.9473e+00 -2.5076e-03 -2.9535e+00 +4.3758e+00
77 +2.352280562e+03 +2.352280562e+03 +2.501430562e+03 +2.501430562e+03 -1.2044e+00 -3.2477e+00 +8.7018e-01 +9.2829e-01 -4.5411e+00 -2.4232e+00 -2.7584e+00 -6.1535e-01 +1.9999e+00 +9.4791e+00
% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.573768899e+05 +2.573768899e+05 +2.575260399e+05 +2.575260399e+05 -2.8056e+00 -1.9399e+00 +2.7257e+00 -1.9657e+00 +2.5143e+00 -2.0518e+00 +3.4341e+00 -1.2001e+00 -2.4272e+00 -1.9913e+00
5 +4.714074272e+04 +4.714074272e+04 +4.728989272e+04 +4.728989272e+04 -3.1566e+00 -1.4876e+00 +6.7232e-01 -3.5861e+00 -7.6352e-01 -2.0695e+00 +9.0383e-01 +2.0174e-01 +1.6245e+00 +4.9698e+00
19 +3.310611546e+04 +3.310611546e+04 +3.325526546e+04 +3.325526546e+04 -3.6170e+00 +1.4690e+00 +2.9594e-01 -1.5624e+00 -6.0937e-01 +2.4720e-01 +1.5989e+00 -3.5892e+00 -1.7765e+00 +2.3137e+00
42 +2.268261344e+04 +2.268261344e+04 +2.283176344e+04 +2.283176344e+04 -8.2083e-01 -9.4075e-01 -2.1049e+00 -7.6609e-01 -2.1444e+00 -1.9304e+00 -2.2702e-01 -6.0293e+00 +2.1538e+00 +6.2297e+00
68 +4.272410724e+03 +4.272410724e+03 +4.421560724e+03 +4.421560724e+03 -6.3895e-01 +1.1127e-01 -1.3125e+00 -1.3199e+00 -2.2096e+00 -2.8906e+00 -2.2326e+00 -1.8906e+00 +1.8670e+00 +5.9808e+00
% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.028286297e+05 +1.028286297e+05 +1.029777797e+05 +1.029777797e+05 +1.2326e+00 +1.5137e+00 +1.9852e+00 -3.9567e-01 -3.3294e+00 -2.1682e+00 +3.3067e+00 -2.7810e+00 +2.6065e+00 +3.0674e-01
12 +5.333813675e+04 +5.333813675e+04 +5.348728675e+04 +5.348728675e+04 -8.9089e-01 +2.5607e+00 +2.4232e+00 -5.3956e-03 -6.1554e+00 +9.3889e-02 +1.7108e+00 +1.1055e+00 -5.1258e-01 +3.2934e+00
22 +5.928034225e+03 +5.928034225e+03 +6.077184225e+03 +6.077184225e+03 -2.8960e+00 +5.1706e-01 +4.5967e-01 -1.1374e+00 -2.3367e+00 -1.6630e+00 +5.8313e-02 -3.2625e+00 -2.9400e-01 +1.3417e+00
85 +2.856948748e+03 +2.856948748e+03 +3.006098748e+03 +3.006098748e+03 -4.9761e-01 +3.6767e-01 -3.1728e-01 +2.3304e+00 -4.8832e+00 -1.8992e+00 -2.2805e+00 -2.5038e+00 -2.4002e+00 +3.7300e+00
